City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
77,Morro Bay,US,2022-02-05 02:19:05,35.3658,-120.8499,60.21,42,0,3.0
78,Jawhar,SO,2022-02-05 02:19:06,2.7809,45.5005,71.46,87,13,12.75
79,Beringovskiy,RU,2022-02-05 02:19:06,63.05,179.3167,-7.24,86,54,12.19
80,Hermanus,ZA,2022-02-05 02:19:06,-34.4187,19.2345,63.81,70,1,18.03
81,Padang,ID,2022-02-05 02:19:07,-0.9492,100.3543,78.85,79,83,2.08
82,New Norfolk,AU,2022-02-05 02:19:07,-42.7826,147.0587,66.9,51,97,1.99
83,Presidencia Roque Saenz Pena,AR,2022-02-05 02:15:13,-26.7852,-60.4388,72.18,97,100,3.96
84,Cherskiy,RU,2022-02-05 02:15:27,68.75,161.3,-29.61,96,10,4.25
85,Weihai,CN,2022-02-05 02:19:08,37.5017,122.1136,28.45,48,77,18.34
86,Khatanga,RU,2022-02-05 02:19:09,71.9667,102.5,-35.9,100,87,2.66
87,Provideniya,RU,2022-02-05 02:19:09,64.3833,-173.3,2.71,63,2,9.22
88,Zyryanskoye,RU,2022-02-05 02:19:10,56.8306,86.6258,16.48,83,100,14.43
89,Sao Joao Da Barra,BR,2022-02-05 02:19:10,-21.6403,-41.0511,76.23,85,98,21.61
90,Kamenka,RU,2022-02-05 02:19:11,51.3223,42.7678,10.9,98,90,7.38
91,Ostrovnoy,RU,2022-02-05 02:19:11,68.0531,39.5131,12.63,86,100,21.36
92,Sisimiut,GL,2022-02-05 02:19:12,66.9395,-53.6735,4.33,89,100,19.22
93,Baykit,RU,2022-02-05 02:20:12,61.67,96.37,8.62,98,100,2.06
94,Faanui,PF,2022-02-05 02:20:13,-16.4833,-151.75,80.73,75,41,14.47
95,Gamba,GA,2022-02-05 02:20:13,-2.65,10.0,74.91,87,99,2.04
96,Kaitangata,NZ,2022-02-05 02:20:14,-46.2817,169.8464,58.32,52,17,8.12
97,San Quintin,MX,2022-02-05 02:20:14,30.4833,-115.95,57.06,57,2,3.27
98,North Bend,US,2022-02-05 02:20:15,43.4065,-124.2243,49.91,98,100,0.0
99,Saint-Joseph,RE,2022-02-05 02:20:15,-21.3667,55.6167,79.16,85,100,22.66
100,Grants,US,2022-02-05 02:20:15,35.1473,-107.8514,21.43,63,0,6.91
101,Buraydah,SA,2022-02-05 02:20:16,26.326,43.975,52.25,36,0,10.22
102,Ruston,US,2022-02-05 02:20:16,32.5232,-92.6379,29.89,84,100,4.99
103,Deputatskiy,RU,2022-02-05 02:20:17,69.3,139.9,-27.35,99,69,2.53
104,Bredasdorp,ZA,2022-02-05 02:20:17,-34.5322,20.0403,63.28,68,61,12.68
105,Nakhon Thai,TH,2022-02-05 02:20:18,17.1006,100.8374,78.39,55,43,5.39
106,Lumphat,KH,2022-02-05 02:20:18,13.4878,106.9816,81.73,50,90,11.12
107,Bend,US,2022-02-05 02:20:18,44.0582,-121.3153,43.47,44,0,3.0
108,Aswan,EG,2022-02-05 02:20:19,24.0934,32.907,49.57,55,0,9.93
109,Kieta,PG,2022-02-05 02:20:19,-6.2167,155.6333,86.38,71,100,12.19
110,Itarema,BR,2022-02-05 02:20:20,-2.9248,-39.9167,79.05,80,65,10.27
111,Sinjai,ID,2022-02-05 02:20:20,-5.1241,120.253,86.14,63,100,2.91
112,Biak,ID,2022-02-05 02:20:20,-0.9131,122.8766,83.41,67,96,2.19
113,Ossora,RU,2022-02-05 02:20:21,59.2353,163.0719,10.85,76,100,7.02
